sample_id,category,subtype,mode,intensity,file_path
normal_normal_2_0009,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0009.csv
normal_normal_1_0010,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0010.csv
normal_normal_2_0010,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0010.csv
normal_normal_1_0011,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0011.csv
normal_normal_2_0011,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0011.csv
normal_normal_1_0012,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0012.csv
normal_normal_2_0012,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0012.csv
normal_normal_1_0013,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0013.csv
normal_normal_2_0013,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0013.csv
normal_normal_1_0014,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0014.csv
normal_normal_2_0014,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0014.csv
normal_normal_1_0015,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0015.csv
normal_normal_2_0015,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0015.csv
normal_normal_1_0016,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0016.csv
normal_normal_2_0016,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0016.csv
normal_normal_1_0017,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0017.csv
normal_normal_2_0017,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0017.csv
normal_normal_1_0018,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0018.csv
normal_normal_2_0018,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0018.csv
normal_normal_1_0019,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0019.csv
normal_normal_2_0019,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0019.csv
normal_normal_1_0020,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0020.csv
normal_normal_2_0020,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0020.csv
normal_normal_1_0021,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0021.csv
normal_normal_2_0021,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0021.csv
normal_normal_1_0022,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0022.csv
normal_normal_2_0022,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0022.csv
normal_normal_1_0023,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0023.csv
normal_normal_2_0023,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0023.csv
normal_normal_1_0024,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0024.csv
normal_normal_2_0024,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0024.csv
normal_normal_1_0025,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0025.csv
normal_normal_2_0025,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0025.csv
normal_normal_1_0026,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0026.csv
normal_normal_2_0026,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0026.csv
normal_normal_1_0027,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0027.csv
normal_normal_2_0027,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0027.csv
normal_normal_1_0028,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0028.csv
normal_normal_2_0028,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0028.csv
normal_normal_1_0029,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0029.csv
normal_normal_2_0029,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0029.csv
normal_normal_1_0030,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0030.csv
normal_normal_2_0030,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0030.csv
normal_normal_1_0031,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0031.csv
normal_normal_2_0031,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0031.csv
normal_normal_1_0032,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0032.csv
normal_normal_2_0032,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0032.csv
normal_normal_1_0033,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0033.csv
normal_normal_2_0033,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0033.csv
normal_normal_1_0034,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0034.csv
normal_normal_2_0034,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0034.csv
normal_normal_1_0035,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0035.csv
normal_normal_2_0035,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0035.csv
normal_normal_1_0036,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0036.csv
normal_normal_2_0036,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0036.csv
normal_normal_1_0037,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0037.csv
normal_normal_2_0037,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0037.csv
normal_normal_1_0038,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0038.csv
normal_normal_2_0038,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0038.csv
normal_normal_1_0039,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0039.csv
normal_normal_2_0039,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0039.csv
normal_normal_1_0040,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0040.csv
normal_normal_2_0040,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0040.csv
normal_normal_1_0041,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0041.csv
normal_normal_2_0041,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0041.csv
normal_normal_1_0042,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0042.csv
normal_normal_2_0042,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0042.csv
normal_normal_1_0043,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0043.csv
normal_normal_2_0043,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0043.csv
normal_normal_1_0044,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0044.csv
normal_normal_2_0044,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0044.csv
normal_normal_1_0045,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0045.csv
normal_normal_2_0045,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0045.csv
normal_normal_1_0046,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0046.csv
normal_normal_2_0046,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0046.csv
normal_normal_1_0047,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0047.csv
normal_normal_2_0047,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0047.csv
normal_normal_1_0048,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0048.csv
normal_normal_2_0048,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0048.csv
normal_normal_1_0049,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0049.csv
normal_normal_2_0049,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0049.csv
normal_normal_1_0050,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0050.csv
normal_normal_2_0050,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0050.csv
normal_normal_1_0051,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0051.csv
normal_normal_2_0051,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0051.csv
normal_normal_1_0052,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0052.csv
normal_normal_2_0052,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0052.csv
normal_normal_1_0053,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0053.csv
normal_normal_2_0053,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0053.csv
normal_normal_1_0054,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0054.csv
normal_normal_2_0054,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0054.csv
normal_normal_1_0055,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0055.csv
normal_normal_2_0055,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0055.csv
normal_normal_1_0056,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0056.csv
normal_normal_2_0056,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0056.csv
normal_normal_1_0057,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0057.csv
normal_normal_2_0057,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0057.csv
normal_normal_1_0058,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0058.csv
normal_normal_2_0058,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0058.csv
normal_normal_1_0059,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0059.csv
normal_normal_2_0059,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0059.csv
normal_normal_1_0060,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0060.csv
normal_normal_2_0060,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0060.csv
normal_normal_1_0061,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0061.csv
normal_normal_2_0061,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0061.csv
normal_normal_1_0062,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0062.csv
normal_normal_2_0062,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0062.csv
normal_normal_1_0063,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0063.csv
normal_normal_2_0063,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0063.csv
normal_normal_1_0064,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0064.csv
normal_normal_2_0064,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0064.csv
normal_normal_1_0065,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0065.csv
normal_normal_2_0065,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0065.csv
normal_normal_1_0066,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0066.csv
normal_normal_2_0066,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0066.csv
normal_normal_1_0067,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0067.csv
normal_normal_2_0067,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0067.csv
normal_normal_1_0068,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0068.csv
normal_normal_2_0068,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0068.csv
normal_normal_1_0069,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0069.csv
normal_normal_2_0069,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0069.csv
normal_normal_1_0070,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0070.csv
normal_normal_2_0070,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0070.csv
normal_normal_1_0071,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0071.csv
normal_normal_2_0071,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0071.csv
normal_normal_1_0072,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0072.csv
normal_normal_2_0072,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0072.csv
normal_normal_1_0073,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0073.csv
normal_normal_2_0073,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0073.csv
normal_normal_1_0074,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0074.csv
normal_normal_2_0074,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0074.csv
normal_normal_1_0075,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0075.csv
normal_normal_2_0075,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0075.csv
normal_normal_1_0076,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0076.csv
normal_normal_2_0076,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0076.csv
normal_normal_1_0077,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0077.csv
normal_normal_2_0077,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0077.csv
normal_normal_1_0078,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0078.csv
normal_normal_2_0078,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0078.csv
normal_normal_1_0079,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0079.csv
normal_normal_2_0079,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0079.csv
normal_normal_1_0080,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0080.csv
normal_normal_2_0080,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0080.csv
normal_normal_1_0081,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0081.csv
normal_normal_2_0081,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0081.csv
normal_normal_1_0082,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0082.csv
normal_normal_2_0082,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0082.csv
normal_normal_1_0083,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0083.csv
normal_normal_2_0083,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0083.csv
normal_normal_1_0084,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0084.csv
normal_normal_2_0084,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0084.csv
normal_normal_1_0085,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0085.csv
normal_normal_2_0085,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0085.csv
normal_normal_1_0086,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0086.csv
normal_normal_2_0086,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0086.csv
normal_normal_1_0087,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0087.csv
normal_normal_2_0087,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0087.csv
normal_normal_1_0088,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0088.csv
normal_normal_2_0088,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0088.csv
normal_normal_1_0089,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0089.csv
normal_normal_2_0089,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0089.csv
normal_normal_1_0090,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0090.csv
normal_normal_2_0090,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0090.csv
normal_normal_1_0091,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0091.csv
normal_normal_2_0091,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0091.csv
normal_normal_1_0092,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0092.csv
normal_normal_2_0092,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0092.csv
normal_normal_1_0093,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0093.csv
normal_normal_2_0093,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0093.csv
normal_normal_1_0094,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0094.csv
normal_normal_2_0094,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0094.csv
normal_normal_1_0095,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0095.csv
normal_normal_2_0095,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0095.csv
normal_normal_1_0096,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0096.csv
normal_normal_2_0096,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0096.csv
normal_normal_1_0097,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0097.csv
normal_normal_2_0097,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0097.csv
normal_normal_1_0098,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0098.csv
normal_normal_2_0098,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0098.csv
normal_normal_1_0099,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0099.csv
normal_normal_2_0099,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0099.csv
normal_normal_1_0100,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0100.csv
normal_normal_2_0100,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0100.csv
normal_normal_1_0101,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0101.csv
normal_normal_2_0101,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0101.csv
normal_normal_1_0102,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0102.csv
normal_normal_2_0102,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0102.csv
normal_normal_1_0103,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0103.csv
normal_normal_2_0103,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0103.csv
normal_normal_1_0104,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0104.csv
normal_normal_2_0104,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0104.csv
normal_normal_1_0105,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0105.csv
normal_normal_2_0105,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0105.csv
normal_normal_1_0106,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0106.csv
normal_normal_2_0106,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0106.csv
normal_normal_1_0107,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0107.csv
normal_normal_2_0107,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0107.csv
normal_normal_1_0108,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0108.csv
normal_normal_2_0108,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0108.csv
normal_normal_1_0109,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0109.csv
normal_normal_2_0109,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0109.csv
normal_normal_1_0110,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0110.csv
normal_normal_2_0110,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0110.csv
normal_normal_1_0111,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0111.csv
normal_normal_2_0111,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0111.csv
normal_normal_1_0112,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0112.csv
normal_normal_2_0112,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0112.csv
normal_normal_1_0113,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0113.csv
normal_normal_2_0113,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0113.csv
normal_normal_1_0114,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0114.csv
normal_normal_2_0114,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0114.csv
normal_normal_1_0115,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0115.csv
normal_normal_2_0115,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0115.csv
normal_normal_1_0116,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0116.csv
normal_normal_2_0116,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0116.csv
normal_normal_1_0117,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0117.csv
normal_normal_2_0117,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0117.csv
normal_normal_1_0118,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0118.csv
normal_normal_2_0118,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0118.csv
normal_normal_1_0119,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0119.csv
normal_normal_2_0119,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0119.csv
normal_normal_1_0120,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0120.csv
normal_normal_2_0120,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0120.csv
normal_normal_1_0121,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0121.csv
normal_normal_2_0121,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0121.csv
normal_normal_1_0122,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0122.csv
normal_normal_2_0122,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0122.csv
normal_normal_1_0123,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0123.csv
normal_normal_2_0123,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0123.csv
normal_normal_1_0124,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0124.csv
normal_normal_2_0124,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0124.csv
normal_normal_1_0125,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0125.csv
normal_normal_2_0125,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0125.csv
normal_normal_1_0126,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0126.csv
normal_normal_2_0126,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0126.csv
normal_normal_1_0127,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0127.csv
normal_normal_2_0127,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0127.csv
normal_normal_1_0128,normal,normal_1,NA,NA,synthetic_data\normal\normal_1\normal_normal_1_0128.csv
normal_normal_2_0128,normal,normal_2,NA,NA,synthetic_data\normal\normal_2\normal_normal_2_0128.csv
